path,title,ignore_path,redirect
computer_network,Computer network,False,
computer_program,Computer program,False,
computer_science,Computer science,False,
computer_security,Computer security,False,
computer_vision,Computer vision,False,
computing,Computing,False,
computing_machinery_and_intelligence,Computing Machinery and Intelligence,False,
computing_platform,Computing platform,False,
concurrency_(computer_science),Concurrency (computer science),False,
concurrent_computing,Concurrent computing,False,
conditional_independence,Conditional independence,False,
conditional_random_field,Conditional random field,False,
conference_on_knowledge_discovery_and_data_mining,Conference on Knowledge Discovery and Data Mining,False,
conference_on_neural_information_processing_systems,Conference on Neural Information Processing Systems,False,
confusion_matrix,Confusion matrix,False,
connectionism,Connectionism,False,
continuous_production,Continuous production,False,
control_theory,Control theory,False,
control_variable_(programming),Control variable (programming),False,
convolution,Convolution,False,
convolutional_neural_network,Convolutional neural network,False,
corpus_of_text,Corpus of text,False,
covariance_function,Covariance function,False,
credit-card_fraud,Credit-card fraud,False,
cross-validation_(statistics),Cross-validation (statistics),False,
crossover_(genetic_algorithm),Crossover (genetic algorithm),False,
crowdsourcing,Crowdsourcing,False,
cryptography,Cryptography,False,
curriculum_learning,Curriculum learning,False,
dall-e,DALL-E,False,
dbscan,DBSCAN,False,
dna_sequence,DNA sequence,False,
dartmouth_workshop,Dartmouth workshop,False,
data,Data,False,
data_augmentation,Data augmentation,False,
data_cleaning,Data cleaning,False,
data_collection,Data collection,False,
data_mining,Data mining,False,
data_quality,Data quality,False,
data_science,Data science,False,
database,Database,False,
david_j._c._mackay,David J. C. MacKay,False,
david_rumelhart,David Rumelhart,False,
david_silver_(computer_scientist),David Silver (computer scientist),False,
decision_boundary,Decision boundary,False,
decision_making,Decision making,False,
decision_support_system,Decision support system,False,
decision_tree,Decision tree,False,
deepdream,DeepDream,False,
deepmind,DeepMind,False,
deepspeed,DeepSpeed,False,
deep_learning_speech_synthesis,Deep learning speech synthesis,False,
deep_neural_network,Deep neural network,False,
deepfake,Deepfake,False,
deeplearning4j,Deeplearning4j,False,
demis_hassabis,Demis Hassabis,False,
density_estimation,Density estimation,False,
dependability,Dependability,False,
dictionary_learning,Dictionary learning,False,
differentiable_function,Differentiable function,False,
differentiable_neural_computer,Differentiable neural computer,False,
diffusion_model,Diffusion model,False,
diffusion_process,Diffusion process,False,
digital_library,Digital library,False,
digital_marketing,Digital marketing,False,
dimensionality_reduction,Dimensionality reduction,False,
directed_acyclic_graph,Directed acyclic graph,False,
discipline_(academia),Discipline (academia),False,
discovery_(observation),Discovery (observation),False,
discrete_mathematics,Discrete mathematics,False,
distributed_artificial_intelligence,Distributed artificial intelligence,False,
distributed_computing,Distributed computing,False,
domain-specific_language,Domain-specific language,False,
donald_o._hebb,Donald O. Hebb,False,
dynamic_bayesian_network,Dynamic Bayesian network,False,
dynamic_programming,Dynamic programming,False,
ecml_pkdd,ECML PKDD,False,
elki,ELKI,False,
echo_state_network,Echo state network,False,
edge_device,Edge device,False,
ehud_shapiro,Ehud Shapiro,False,
electrocardiography,Electrocardiography,False,
electrochemical_ram,Electrochemical RAM,False,
electronic_design_automation,Electronic design automation,False,
eleutherai,EleutherAI,False,
email_filtering,Email filtering,False,
embedded_system,Embedded system,False,
embedded_systems,Embedded systems,False,
empirical_risk_minimization,Empirical risk minimization,False,
ensemble_averaging,Ensemble Averaging,False,
ensemble_learning,Ensemble learning,False,
ensemble_methods,Ensemble methods,False,
entailment,Entailment,False,
enterprise_information_system,Enterprise information system,False,
errors_and_residuals,Errors and residuals,False,
european_conference_on_machine_learning_and_principles_and_practice_of_knowledge_discovery_in_databases,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,False,
evolutionary_algorithm,Evolutionary algorithm,False,
existential_risk_from_artificial_general_intelligence,Existential risk from artificial general intelligence,False,
